date,countryiso3code,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SP.ADO.TFRT,SP.POP.GROW,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.STA.SUIC.P5,NCD_BMI_25A,NY.GDP.MKTP.KN,NCD_HYP_PREVALENCE_A
1990,ARG,734.103881835938,9.24604797363281,73.493,145296474870991.0,32618648,22.226,2.997,71.594,25.3,8.32241916656494,146.1,322461423550,112.4
1990,BRA,512.131591796875,9.01413917541504,82.9406,181151883766468.0,149003225,24.844,2.902,66.343,52.6,3.85065412521362,115.3,209267626216386,117.8
1990,CHL,537.907043457031,7.15910243988037,66.11,163946957022375.0,13274617,22.286,2.579,73.509,16.1,7.25454235076904,146.3,522996042828507,110.0
1990,COL,416.916564941406,7.12577629089355,96.2052,1.96794438406062e+16,33102569,27.136,3.082,69.75,29.2,4.13199234008789,128.4,330352934040000,87.2
1990,MEX,562.431579589844,7.70477533340454,86.2706,189313026113497.0,83943135,28.802,3.47,70.866,36.3,4.76449298858643,146.6,9241452512000,88.4
1990,PER,414.311767578125,7.87640476226807,82.559,209339656909962.0,22071433,30.677,3.912,66.165,56.7,3.72409296035767,126.9,151492000000,61.1
1991,ARG,738.756530761719,9.25327205657959,73.524,140145510449441.0,33079002,22.036,2.965,71.813,24.9,8.37651348114014,147.8,351912181900,113.1
1991,BRA,512.568542480469,8.92531585693359,83.3338,175941419381772.0,151648007,24.245,2.822,66.742,50.6,3.89249038696289,117.6,211427664859951,118.9
1991,CHL,548.959899902344,7.01858425140381,67.297,164844266911161.0,13495255,21.979,2.558,73.808,14.9,7.40701675415039,148.0,56381270512600,110.8
1991,COL,412.485290527344,7.13577508926392,97.8666,196162497706366.0,33758328,26.844,3.047,69.936,28.3,4.26019382476807,130.5,336965303464300,87.8
1991,MEX,561.578125,7.60445499420166,85.5128,18524373770111.0,85512621,28.24,3.369,71.248,34.8,4.79184865951538,148.8,9630957078900,89.9
1991,PER,405.803466796875,7.65384387969971,81.407,202254667950541.0,22522383,29.929,3.794,66.757,54.0,3.70212841033936,128.8,154854000000,60.8
1992,ARG,741.877685546875,9.23606777191162,73.555,135215795127188.0,33529320,21.802,2.925,72.032,24.2,8.42030811309814,149.6,379844477800,113.7
1992,BRA,514.509765625,8.84879493713379,83.727,170733923298647.0,154259382,23.721,2.754,67.141,48.4,3.9529755115509,119.8,210277346027302,120.2
1992,CHL,552.773498535156,7.00210189819336,68.484,165032147248232.0,13719818,21.567,2.526,74.1,13.7,7.4697322845459,149.7,62677202207400,111.5
1992,COL,416.745361328125,7.14201593399048,99.528,194852533515923.0,34422568,26.505,3.01,70.161,27.5,4.31435680389404,132.6,350595312219100,88.3
1992,MEX,561.147033691406,7.5113468170166,84.755,18107399038872.0,87075136,27.681,3.273,71.61,33.4,4.81979656219482,151.0,9971999132700,91.4
1992,PER,396.643920898438,7.42446041107178,80.255,195410380291151.0,22966822,29.136,3.673,67.33,51.3,3.67332887649536,130.6,154017000000,60.6
1993,ARG,742.953308105469,9.18736839294434,72.8042,130605343285023.0,33970103,21.526,2.879,72.246,23.3,8.44834613800049,151.3,411018234600,114.3
1993,BRA,515.821655273438,8.76632022857666,83.834,166486231216782.0,156849086,23.252,2.693,67.539,46.0,4.00943374633789,122.0,220632853469126,121.2
1993,CHL,553.694641113281,6.94586849212646,67.8598,162749312854522.0,13944934,21.06,2.484,74.386,12.7,7.50434589385986,151.2,66806867569400,112.3
1993,COL,419.489685058594,7.12010478973389,99.8068,192400427953526.0,35091272,26.101,2.968,70.433,26.6,4.36049938201904,134.7,369476307007500,88.9
1993,MEX,561.262023925781,7.42742538452148,84.4,176475714562417.0,88625440,27.134,3.182,71.953,32.0,4.85017108917236,153.1,10165571177000,92.9
1993,PER,386.854248046875,7.18623638153076,78.9782,190329587663094.0,23408135,28.316,3.552,67.88,48.5,3.63955402374268,132.3,162093000000,60.5
1994,ARG,743.625183105469,9.13305568695068,72.0534,126533343238916.0,34402669,21.214,2.828,72.453,22.4,8.47275161743164,153.2,435006083700,114.9
1994,BRA,518.324035644531,8.69696044921875,83.941,16337888839804.0,159432717,22.826,2.639,67.932,43.5,4.0810604095459,124.3,233546208363927,122.4
1994,CHL,553.663024902344,6.87852191925049,67.2356,157528635228777.0,14166346,20.471,2.432,74.671,11.8,7.52872276306152,153.0,70167385270700,113.0
1994,COL,421.791320800781,7.09379482269287,100.0856,18848931896675.0,35758978,25.628,2.918,70.752,25.8,4.40427780151367,136.8,390960105089700,89.5
1994,MEX,560.990295410156,7.34537887573242,84.045,17126945972871.0,90156396,26.604,3.097,72.279,30.7,4.87619686126709,155.2,10667860250000,94.1
1994,PER,376.505310058594,6.94078302383423,77.7014,187595139322878.0,23851405,27.486,3.432,68.405,45.6,3.6008677482605,134.1,182044000000,60.3
1995,ARG,743.943237304688,9.07503509521484,71.3026,122923360808769.0,34828168,20.881,2.773,72.651,21.5,8.49343585968018,154.9,422629248800,115.7
1995,BRA,520.894958496094,8.62949085235596,84.048,160971030654546.0,162019889,22.424,2.588,68.318,41.1,4.14817333221436,126.4,243410718244427,123.5
1995,CHL,553.108154296875,6.80990695953369,66.6114,150292822252359.0,14380864,19.818,2.372,74.957,11.1,7.54504489898682,154.6,76435645400700,113.9
1995,COL,423.308654785156,7.05190944671631,100.3644,183561868415374.0,36421438,25.094,2.862,71.112,24.9,4.4407057762146,138.8,411299560568600,90.0
1995,MEX,562.514465332031,7.28289985656738,83.69,165760764044424.0,91663290,26.096,3.018,72.598,29.5,4.91704893112183,157.4,9996720538000,95.6
1995,PER,366.138671875,6.69680595397949,76.4246,185989856247358.0,24299168,26.667,3.315,68.903,42.7,3.56087446212769,135.9,195536000000,60.1
1996,ARG,743.581909179688,9.00831890106201,70.5518,119362308026821.0,35246376,20.545,2.718,72.843,20.5,8.50822448730469,156.5,445986656500,116.4
