date,countryiso3code,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SP.ADO.TFRT,SP.POP.GROW,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.STA.SUIC.P5,NCD_BMI_25A,NY.GDP.MKTP.KN,NCD_HYP_PREVALENCE_A
1990,AFG,28.9071159362793,8.28986835479736,162.8354,447695437953718,12412311,48.88,7.466,50.331,120.8,5.75003433227539,30.8,,106.4
1990,BGD,24.4586067199707,5.46157026290894,153.9614,242960098122108,103171957,35.099,4.495,58.21,101.1,6.23608350753784,25.1,"5248673364916,19",87.6
1990,IND,30.2456550598145,5.21428298950195,98.7892,207608920383876,873277799,31.517,4.045,57.865,88.6,10.7063961029053,26.7,25145486613000,86.3
1990,LKA,43.1799163818359,3.27681303024292,30.9842,127216914397561,17325769,20.624,2.483,69.509,19.4,12.3127670288086,32.7,2330467880500,95.7
1990,NPL,21.7238750457764,5.71218633651733,131.6496,246573575610948,18905480,38.458,5.172,54.404,96.5,5.89153861999512,26.6,"630972867623,059",102.4
1990,PAK,26.0994319915771,5.27111148834229,86.0878,29555623179075,107647918,41.222,6.164,60.1,106.9,6.73988342285156,40.8,"11408702680412,2",112.2
1991,AFG,32.021484375,8.4387845993042,163.3822,690012448590171,13299016,48.763,7.479,50.999,117.1,6.51365375518799,31.8,,106.5
1991,BGD,24.6866054534912,5.30875158309937,148.7142,232530036281531,105599125,34.183,4.315,58.891,97.2,6.29798221588135,25.9,"5431601588967,39",87.3
1991,IND,30.6504878997803,5.14844703674316,96.3826,203972873553563,891273202,30.924,3.959,58.353,86.3,10.7950000762939,27.4,25411232019600,86.7
1991,LKA,43.3238525390625,3.24299311637878,30.1386,120456969868137,17535732,20.212,2.433,69.62,19.1,12.3095207214355,33.5,2437669105700,95.4
1991,NPL,22.5055141448975,5.66401624679565,131.7538,261050131055651,19405506,38.005,5.099,55.262,92.1,6.04676866531372,27.6,"671154168847,145",102.7
1991,PAK,29.1508407592773,5.39411211013794,83.0524,286682281823704,110778655,40.784,6.091,60.393,104.9,7.51547813415527,42.1,"11986161896506,1",112.7
1992,AFG,34.3317794799805,8.53954315185547,163.929,854610700459867,14485543,48.709,7.502,51.641,113.5,7.05807876586914,32.8,,106.8
1992,BGD,24.9664077758789,5.15971708297729,143.467,223302786400993,107983708,33.299,4.146,59.618,93.2,6.37027883529663,26.8,"5727226583822,86",87.0
1992,IND,29.2103157043457,4.96110725402832,93.976,20031786237708,909307018,30.348,3.877,58.851,84.2,10.384747505188,28.3,26804376392900,87.3
1992,LKA,43.4494438171387,3.21351337432861,29.293,114024717514053,17736827,19.853,2.39,69.639,18.7,12.2959766387939,34.4,2544926333100,95.4
1992,NPL,23.2266120910645,5.61073398590088,131.858,270867683007286,19938322,37.542,5.02,56.118,87.7,6.18794059753418,28.5,"698714487964,043",103.0
1992,PAK,29.3931694030762,5.32072782516479,80.017,278844365093571,113911126,40.267,6.007,60.68,102.9,7.54391384124756,43.4,"12909803285090,3",113.0
1993,AFG,26.0321254730225,7.92073726654053,164.1888,8790896706627,15816601,48.717,7.535,52.256,110.1,4.76088762283325,34.0,,106.9
1993,BGD,25.3530349731445,5.02887678146362,139.0954,216825775830045,110350641,32.454,3.99,60.388,89.2,6.46101474761963,27.8,"5997068399421,34",87.0
1993,IND,31.5463714599609,5.02294111251831,90.5516,197063498652535,927403866,29.792,3.799,59.349,82.1,10.9884462356567,29.3,28077792332400,87.8
1993,LKA,43.5010299682617,3.18789863586426,29.2664,105436355606333,17924827,19.527,2.353,69.557,18.2,12.2582111358643,35.4,2720527859800,95.3
1993,NPL,23.8504066467285,5.53898000717163,130.5036,272920359986776,20489973,37.062,4.934,56.964,83.5,6.30898189544678,29.6,"725613947865,857",103.2
1993,PAK,29.6691188812256,5.24488353729248,76.8746,274959673413431,117086680,39.687,5.912,60.96,100.8,7.58352088928223,44.7,"13136725055186,7",113.4
1994,AFG,34.5445327758789,8.45238208770752,164.4486,765979553393712,17075728,48.77,7.572,52.842,106.9,6.96334218978882,35.0,,107.2
1994,BGD,25.7720336914063,4.90091323852539,134.7238,214007981243972,112737684,31.653,3.846,61.19,85.2,6.56180381774902,28.7,"6230361942891,47",86.7
1994,IND,31.988697052002,4.95752477645874,87.1272,194324392219027,945601828,29.258,3.723,59.84,80.1,11.0856113433838,30.3,29947471203600,88.2
1994,LKA,43.4826469421387,3.15991449356079,29.2398,94198526755183,18094474,19.231,2.32,69.403,17.7,12.2007999420166,36.5,2872875208900,95.1
1994,NPL,24.3638191223145,5.46094179153442,129.1492,265324705595892,21040899,36.553,4.839,57.793,79.5,6.40251541137695,30.6,"785230409449,363",103.5
1994,PAK,30.0003108978271,5.16921710968018,73.7322,275957007369441,120362764,39.053,5.808,61.235,98.6,7.63813209533691,46.1,"13627699060615,3",113.9
1995,AFG,33.2345352172852,8.31681728363037,164.7084,588427856371589,18110662,48.835,7.606,53.398,103.9,6.53618335723877,36.2,,107.3
1995,BGD,26.2466430664063,4.78114604949951,130.3522,213449763314428,115169933,30.897,3.713,62.002,81.3,6.67313051223755,29.7,"6549436091985,94",86.5
1995,IND,32.4336433410645,4.89326238632202,83.7028,191894065925812,963922586,28.749,3.651,60.32,77.9,11.1818723678589,31.2,32215839966300,88.8
1995,LKA,51.1791839599609,3.6575813293457,29.2132,817030731577743,18242917,18.971,2.291,69.259,17.0,14.2065896987915,37.5,3030885794000,95.1
1995,NPL,24.8085498809814,5.37760877609253,127.7948,251169004747214,21576074,35.985,4.731,58.6,75.7,6.47854423522949,31.7,"812465748422,639",103.9
1995,PAK,30.3211688995361,5.08672666549683,70.5898,279700104872349,123776835,38.375,5.694,61.505,96.2,7.69522666931152,47.4,"14303988500948,5",114.2
1996,AFG,28.0214080810547,7.91555595397949,164.9682,40194777158615,18853444,48.87,7.629,53.924,101.0,5.0651741027832,37.4,,107.5
1996,BGD,26.7354106903076,4.66613006591797,125.9806,213047787567636,117649927,30.181,3.591,62.798,77.4,6.78411102294922,30.8,"6845661795636,34",86.4
1996,IND,32.8741912841797,4.83135986328125,80.2784,189521957676734,982365248,28.262,3.582,60.783,75.8,11.2763643264771,32.1,34647981972200,89.4
1996,LKA,49.9311752319336,3.54634428024292,29.1866,679447010343885,18367290,18.759,2.268,69.237,16.4,13.8154668807983,38.6,3146058460200,95.0
1996,NPL,25.2137508392334,5.28683853149414,126.4404,235559365489083,22090352,35.321,4.606,59.383,72.0,6.54794216156006,32.9,"855756232333,873",104.2
1996,PAK,27.9848613739014,4.82208347320557,67.4474,28453423355274,127349293,37.66,5.571,61.773,93.8,7.04003238677979,48.8,"14997242930538,2",114.7
1997,AFG,30.8883190155029,8.06106948852539,165.228,263650176396731,19357126,48.833,7.632,54.424,98.2,5.76013660430908,38.6,,107.8
