IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,1137,,,588.3,,1958,1137 [588.3 – 1958],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,1171,,,594.8,,1938,1171 [594.8 – 1938],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,1281,,,737.3,,2062,1281 [737.3 – 2062],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,234.8,,,164.7,,329.4,234.8 [164.7 – 329.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,235.4,,,177.3,,304.2,235.4 [177.3 – 304.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,237.1,,,157.9,,345.6,237.1 [157.9 – 345.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,269.6,,,185,,378.5,269.6 [185 – 378.5],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,278.5,,,197.5,,385.1,278.5 [197.5 – 385.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ESP,Spain,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,282.1,,,199.4,,387.8,282.1 [199.4 – 387.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,284.2,,,186.2,,414,284.2 [186.2 – 414],,,EN,2021-02-09T05:00:00.000Z
