date,countryiso3code,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SP.ADO.TFRT,SP.POP.GROW,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.STA.SUIC.P5,NCD_BMI_25A,NY.GDP.MKTP.KN,NCD_HYP_PREVALENCE_A
1990,AUS,3100.13671875,8.49061965942383,20.965,147997801595662,17065100,15.4,1.902,76.9946341463415,7.6,13.5861759185791,150.8,838296000000.0,102.5
1990,CHN,378.927429199219,3.77274489402771,20.1536,146730321087928,1135185000,21.06,2.309,69.145,42.7,5.56493711471558,46.3,639799310217268.0,61.0
1990,GBR,2983.71337890625,7.89780902862549,30.9754,298930554095876,57247586,13.9,1.83,75.8804878048781,7.9,12.6853332519531,146.3,1179185619000.0,114.3
1990,IDN,351.17529296875,3.0057201385498,67.038,17820550143316,181413398,25.813,3.122,62.32,61.8,4.47697830200195,33.1,2820000000000000.0,91.8
1990,RUS,1850.51293945313,6.99892854690552,50.766,168018341182166,147969407,13.4,1.892,68.8860975609756,17.3,30.8120918273926,145.3,72791483737000.0,156.5
1990,USA,4174.4453125,9.97515678405762,57.0142,112965052045579,249623000,16.7,2.081,75.2146341463415,9.4,10.8109464645386,153.1,9811054837000.0,92.3
1991,AUS,3113.23193359375,8.49753665924072,20.92,127457757809254,17284000,14.9,1.849,77.2756097560976,7.1,13.6802759170532,152.7,834984000000.0,101.6
1991,CHN,322.978698730469,3.6733021736145,17.9608,136443400840349,1150780000,19.68,2.14,69.242,42.4,6.3826322555542,47.7,6990625516900.0,63.3
1991,GBR,3016.85302734375,7.95263957977295,30.7442,309247932319381,57424897,13.8,1.82,76.0829268292683,7.4,12.6427659988403,148.0,1166177767000.0,113.5
1991,IDN,434.48291015625,3.17111301422119,65.074,173690323684158,184591897,25.189,3.022,62.727,59.4,4.55823516845703,34.3,3011078051837600.0,91.9
1991,RUS,1843.70458984375,6.98829412460327,51.294,286681129515534,148394216,12.1,1.732,68.4743902439024,17.2,31.1950092315674,146.2,69117741627100.0,155.8
1991,USA,4220.93310546875,10.06907081604,58.2626,133626074073779,252981000,16.2,2.0625,75.3658536585366,9.1,11.0217304229736,155.3,9800432919000.0,92.4
1992,AUS,3148.99755859375,8.55570507049561,20.875,121339077499647,17495000,15.1,1.888,77.3780487804878,6.7,13.5165138244629,154.4,838439000000.0,100.7
1992,CHN,207.651123046875,3.43113565444946,15.768,12255362283362,1164970000,18.27,1.977,69.355,41.8,7.16544246673584,49.1,7985009112300.0,65.7
1992,GBR,3030.57568359375,7.96048164367676,30.513,270431182081877,57580402,13.6,1.79,76.4341463414634,6.9,12.6643409729004,149.8,1170855097000.0,112.7
1992,IDN,445.210021972656,3.16560745239258,63.11,169094608364687,187739786,24.581,2.929,63.131,57.1,4.71500492095947,35.8,3206723044482500.0,92.2
1992,RUS,2018.95922851563,7.44089508056641,51.822,969789790408762,148538197,10.7,1.552,66.8731707317073,17.3,31.5117874145508,147.1,59074191600500.0,155.3
1992,USA,4267.1162109375,10.1610679626465,59.511,138688569247935,256514000,15.8,2.046,75.6170731707317,8.8,11.2187833786011,157.5,10145647340000.0,92.5
1993,AUS,3136.75146484375,8.49613761901855,20.5906,9783366810892,17667000,14.7,1.859,77.8780487804878,6.3,13.5499572753906,156.3,872258000000.0,99.6
1993,CHN,231.342651367188,3.51590490341187,14.9452,114961943083465,1178440000,18.09,1.838,69.496,40.9,7.70835018157959,50.6,9093626162200.0,68.1
1993,GBR,3023.1484375,7.9250316619873,30.4738,239745439286479,57718614,13.2,1.76,76.3853658536585,6.6,12.7237167358398,151.7,1200007410000.0,111.8
1993,IDN,444.587463378906,3.1353440284729,60.0576,164370959630866,190851184,23.983,2.842,63.529,54.8,4.80896902084351,37.2,3415044860744700.0,92.4
1993,RUS,1107.30346679688,5.31709480285645,48.4678,-534820276606834,148458777,9.4,1.385,64.9358536585366,17.5,32.3576354980469,147.8,53953321470200.0,154.8
1993,USA,4247.478515625,10.1148433685303,57.8868,131867999977741,259919000,15.4,2.0195,75.419512195122,8.5,11.3667316436768,159.9,10424833341000.0,92.6
1994,AUS,3193.04638671875,8.61076164245605,20.3062,105850884158683,17855000,14.5,1.842,77.8780487804878,6.0,13.4835186004639,158.1,906978000000.0,98.5
1994,CHN,221.82470703125,3.5062530040741,14.1224,113026063215591,1191835000,17.7,1.731,69.67,39.7,8.20276546478271,52.1,10279144620800.0,70.2
1994,GBR,3074.03466796875,8.01655197143555,30.4346,254586486858912,57865745,13.0,1.74,76.8853658536585,6.3,12.6714277267456,153.5,1246159805000.0,110.6
1994,IDN,443.761260986328,3.10508823394775,57.0052,159386112996941,193917458,23.406,2.761,63.919,52.6,4.88034629821777,38.7,3672538256143700.0,92.5
